Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.073287120,1,1,1,1,0,1,0,0
0.073315960,1,1,1,1,0,0,0,0
0.073475760,1,1,1,0,0,0,0,0
0.073476720,1,1,0,0,0,0,0,0
0.075979680,0,1,0,0,0,0,0,0
0.075987240,0,1,0,0,0,0,0,1
0.075992160,0,1,0,0,0,0,1,1
0.075994080,0,0,0,0,0,0,1,1
0.075994840,0,0,1,0,0,0,1,1
0.075999480,0,0,1,0,0,0,0,1
0.076071160,0,0,1,0,0,0,0,0
0.076090560,0,0,1,0,1,0,0,0
0.076107400,0,0,1,0,0,0,0,0
0.077136800,0,0,1,1,0,0,0,0
0.077149680,0,0,1,1,0,1,0,0
0.077178520,0,0,1,1,0,0,0,0
0.077332560,0,0,1,0,0,0,0,0
0.077334680,0,0,0,0,0,0,0,0
0.079987800,1,0,0,0,0,0,0,0
0.079995320,1,0,0,0,0,0,0,1
0.080000280,1,0,0,0,0,0,1,1
0.080003160,1,1,0,0,0,0,1,1
0.080003840,1,1,1,0,0,0,1,1
0.080007600,1,1,1,0,0,0,0,1
0.080079160,1,1,1,0,0,0,0,0
0.080092240,1,1,1,0,1,0,0,0
0.080109040,1,1,1,0,0,0,0,0
0.080903600,1,1,1,1,0,0,0,0
0.080920600,1,1,1,1,0,1,0,0
0.080949440,1,1,1,1,0,0,0,0
0.081091320,1,1,1,0,0,0,0,0
0.081093400,1,1,0,0,0,0,0,0
0.083980240,0,1,0,0,0,0,0,0
0.083987800,0,1,0,0,0,0,0,1
0.083992720,0,1,0,0,0,0,1,1
0.083998200,0,0,0,0,0,0,1,1
0.083998960,0,0,1,0,0,0,1,1
0.084000080,0,0,1,0,0,0,0,1
0.084071640,0,0,1,0,0,0,0,0
0.084084680,0,0,1,0,1,0,0,0
0.084101520,0,0,1,0,0,0,0,0
0.084912840,0,0,1,1,0,0,0,0
0.084927600,0,0,1,1,0,1,0,0
0.084956440,0,0,1,1,0,0,0,0
0.085088120,0,0,1,0,0,0,0,0
0.085089080,0,0,0,0,0,0,0,0
0.087989040,1,0,0,0,0,0,0,0
0.088006160,1,0,0,0,0,0,0,1
0.088006520,1,1,0,0,0,0,0,1
0.088007240,1,1,1,0,0,0,0,1
0.088011080,1,1,1,0,0,0,1,1
0.088018400,1,1,1,0,0,0,0,1
0.088089960,1,1,1,0,0,0,0,0
0.088103040,1,1,1,0,1,0,0,0
0.088119880,1,1,1,0,0,0,0,0
0.089083640,1,1,1,1,0,0,0,0
0.089096080,1,1,1,1,0,1,0,0
0.089124960,1,1,1,1,0,0,0,0
0.089240360,1,1,1,0,0,0,0,0
0.089241360,1,1,0,0,0,0,0,0
0.091981400,0,1,0,0,0,0,0,0
0.091997360,0,0,0,0,0,0,0,0
0.091998120,0,0,1,0,0,0,0,0
0.092006320,0,0,1,0,0,0,0,1
0.092011280,0,0,1,0,0,0,1,1
0.092018600,0,0,1,0,0,0,0,1
0.092090280,0,0,1,0,0,0,0,0
0.092103360,0,0,1,0,1,0,0,0
0.092120200,0,0,1,0,0,0,0,0
0.093225880,0,0,1,1,0,0,0,0
0.093243040,0,0,1,1,0,1,0,0
0.093271880,0,0,1,1,0,0,0,0
0.093414840,0,0,1,0,0,0,0,0
0.093415800,0,0,0,0,0,0,0,0
0.095985800,1,0,0,0,0,0,0,0
0.096002440,1,1,0,0,0,0,0,0
0.096003120,1,1,1,0,0,0,0,0
0.096011720,1,1,1,0,0,0,0,1
0.096016680,1,1,1,0,0,0,1,1
0.096024000,1,1,1,0,0,0,0,1
0.096095680,1,1,1,0,0,0,0,0
0.096108760,1,1,1,0,1,0,0,0
0.096125560,1,1,1,0,0,0,0,0
0.097302840,1,1,1,1,0,0,0,0
0.097317680,1,1,1,1,0,1,0,0
0.097346520,1,1,1,1,0,0,0,0
0.097484680,1,1,1,0,0,0,0,0
0.097486800,1,1,0,0,0,0,0,0
0.099988560,0,1,0,0,0,0,0,0
0.100003440,0,0,0,0,0,0,0,0
0.100004200,0,0,1,0,0,0,0,0
0.100035240,0,0,1,0,0,0,0,1
0.100040200,0,0,1,0,0,0,1,1
0.100047520,0,0,1,0,0,0,0,1
0.100119080,0,0,1,0,0,0,0,0
0.100132160,0,0,1,0,1,0,0,0
0.100148960,0,0,1,0,0,0,0,0
0.101271240,0,0,1,1,0,0,0,0
0.101282400,0,0,1,1,0,1,0,0
0.101311240,0,0,1,1,0,0,0,0
0.101435920,0,0,1,0,0,0,0,0
0.101436880,0,0,0,0,0,0,0,0
0.103988160,1,0,0,0,0,0,0,0
0.103995720,1,0,0,0,0,0,0,1
0.104000680,1,0,0,0,0,0,1,1
0.104003320,1,1,0,0,0,0,1,1
0.104004000,1,1,1,0,0,0,1,1
0.104008000,1,1,1,0,0,0,0,1
0.104079560,1,1,1,0,0,0,0,0
0.104092640,1,1,1,0,1,0,0,0
0.104109440,1,1,1,0,0,0,0,0
0.105135120,1,1,1,1,0,0,0,0
0.105142960,1,1,1,1,0,1,0,0
0.105171840,1,1,1,1,0,0,0,0
0.105348160,1,1,1,0,0,0,0,0
0.105349120,1,1,0,0,0,0,0,0
0.107985080,0,1,0,0,0,0,0,0
0.107992600,0,1,0,0,0,0,0,1
0.107997560,0,1,0,0,0,0,1,1
0.108004880,0,1,0,0,0,0,0,1
0.108008400,0,0,0,0,0,0,0,1
0.108009160,0,0,1,0,0,0,0,1
0.108076560,0,0,1,0,0,0,0,0
0.108089640,0,0,1,0,1,0,0,0
0.108106440,0,0,1,0,0,0,0,0
0.108907960,0,0,1,1,0,0,0,0
0.108923480,0,0,1,1,0,1,0,0
0.108952320,0,0,1,1,0,0,0,0
0.109165640,0,0,1,0,0,0,0,0
0.109166600,0,0,0,0,0,0,0,0
0.111982400,1,0,0,0,0,0,0,0
0.111989920,1,0,0,0,0,0,0,1
0.111994840,1,0,0,0,0,0,1,1
0.111997680,1,1,0,0,0,0,1,1
0.111998400,1,1,1,0,0,0,1,1
0.112002160,1,1,1,0,0,0,0,1
0.112073840,1,1,1,0,0,0,0,0
0.112086920,1,1,1,0,1,0,0,0
0.112103760,1,1,1,0,0,0,0,0
0.112896760,1,1,1,1,0,0,0,0
0.112912920,1,1,1,1,0,1,0,0
0.112942040,1,1,1,1,0,0,0,0
0.113089640,1,1,1,0,0,0,0,0
0.113090600,1,1,0,0,0,0,0,0
0.115982760,0,1,0,0,0,0,0,0
0.116000800,0,0,0,0,0,0,0,0
0.116001560,0,0,1,0,0,0,0,0
0.116023440,0,0,1,0,0,0,0,1
0.116028360,0,0,1,0,0,0,1,1
0.116035680,0,0,1,0,0,0,0,1
0.116107320,0,0,1,0,0,0,0,0
0.116126680,0,0,1,0,1,0,0,0
0.116143520,0,0,1,0,0,0,0,0
0.117098400,0,0,1,1,0,0,0,0
0.117116000,0,0,1,1,0,1,0,0
0.117144840,0,0,1,1,0,0,0,0
0.117289760,0,0,1,0,0,0,0,0
0.117290720,0,0,0,0,0,0,0,0
0.119980280,1,0,0,0,0,0,0,0
0.119996720,1,1,0,0,0,0,0,0
0.119997440,1,1,1,0,0,0,0,0
0.120023680,1,1,1,0,0,0,0,1
0.120028600,1,1,1,0,0,0,1,1
0.120035920,1,1,1,0,0,0,0,1
0.120107560,1,1,1,0,0,0,0,0
0.120126920,1,1,1,0,1,0,0,0
0.120143760,1,1,1,0,0,0,0,0
0.121275080,1,1,1,1,0,0,0,0
0.121287000,1,1,1,1,0,1,0,0
0.121315840,1,1,1,1,0,0,0,0
0.121478800,1,1,1,0,0,0,0,0
0.121480400,1,1,0,0,0,0,0,0
0.123983440,0,1,0,0,0,0,0,0
0.123999680,0,0,0,0,0,0,0,0
0.124000480,0,0,1,0,0,0,0,0
0.124028400,0,0,1,0,0,0,0,1
0.124033360,0,0,1,0,0,0,1,1
0.124040680,0,0,1,0,0,0,0,1
0.124112280,0,0,1,0,0,0,0,0
0.124125360,0,0,1,0,1,0,0,0
0.124142200,0,0,1,0,0,0,0,0
0.125278480,0,0,1,1,0,0,0,0
0.125294320,0,0,1,1,0,1,0,0
0.125323160,0,0,1,1,0,0,0,0
0.128434680,0,0,1,0,0,0,0,0
0.128437400,0,0,0,0,0,0,0,0
0.128442960,1,0,0,0,0,0,0,0
0.128447120,1,1,0,0,0,0,0,0
0.128447840,1,1,1,0,0,0,0,0
0.128487720,1,1,1,0,0,0,0,1
0.128492640,1,1,1,0,0,0,1,1
0.128500000,1,1,1,0,0,0,0,1
0.128571600,1,1,1,0,0,0,0,0
0.128584680,1,1,1,0,1,0,0,0
0.128601520,1,1,1,0,0,0,0,0
0.129733160,1,1,1,1,0,0,0,0
0.129746720,1,1,1,1,0,1,0,0
0.129775560,1,1,1,1,0,0,0,0
0.129956200,1,1,1,0,0,0,0,0
0.129957200,1,1,0,0,0,0,0,0
0.131980760,0,1,0,0,0,0,0,0
0.131988280,0,1,0,0,0,0,0,1
0.131993240,0,1,0,0,0,0,1,1
0.131999880,0,0,0,0,0,0,1,1
0.132000560,0,0,0,0,0,0,0,1
0.132000640,0,0,1,0,0,0,0,1
0.132072120,0,0,1,0,0,0,0,0
0.132085200,0,0,1,0,1,0,0,0
0.132102000,0,0,1,0,0,0,0,0
0.133171480,0,0,1,1,0,0,0,0
0.133187720,0,0,1,1,0,1,0,0
0.133216560,0,0,1,1,0,0,0,0
0.133379480,0,0,1,0,0,0,0,0
0.133381120,0,0,0,0,0,0,0,0
0.135989800,1,0,0,0,0,0,0,0
0.135997280,1,0,0,0,0,0,0,1
0.136002240,1,0,0,0,0,0,1,1
0.136006920,1,1,0,0,0,0,1,1
0.136007640,1,1,1,0,0,0,1,1
0.136009560,1,1,1,0,0,0,0,1
0.136081160,1,1,1,0,0,0,0,0
0.136094240,1,1,1,0,1,0,0,0
0.136111080,1,1,1,0,0,0,0,0
0.136918240,1,1,1,1,0,0,0,0
