Time [s],Channel 0,Channel 1
-0.418849360,0,0
-0.416853800,0,1
-0.414855680,0,0
-0.412856760,0,1
-0.410858600,0,0
-0.408859640,0,1
-0.406861560,0,0
-0.404862600,0,1
-0.402864520,0,0
-0.400865560,0,1
-0.398867480,0,0
-0.396868520,0,1
-0.394870480,0,0
-0.392871560,0,1
-0.390873440,0,0
-0.388874520,0,1
-0.386876440,0,0
-0.384877480,0,1
-0.382879320,0,0
-0.380880360,0,1
-0.378882280,0,0
-0.376883320,0,1
-0.374885240,0,0
-0.372886280,0,1
-0.370888200,0,0
-0.368889240,0,1
-0.366891160,0,0
-0.364892200,0,1
-0.362894200,0,0
-0.360895240,0,1
-0.358897160,0,0
-0.356898200,0,1
-0.354900120,0,0
-0.352901160,0,1
-0.350903080,0,0
-0.348904040,0,1
-0.346905960,0,0
-0.344907000,0,1
-0.342908920,0,0
-0.340909960,0,1
-0.338911880,0,0
-0.336912920,0,1
-0.334914920,0,0
-0.332915880,0,1
-0.330917880,0,0
-0.328918920,0,1
-0.326920840,0,0
-0.324921880,0,1
-0.322923800,0,0
-0.320924840,0,1
-0.318926760,0,0
-0.316927800,0,1
-0.314929720,0,0
-0.312930760,0,1
-0.310932600,0,0
-0.308933640,0,1
-0.306935560,0,0
-0.304936600,0,1
-0.302938600,0,0
-0.300939640,0,1
-0.298941560,0,0
-0.296942600,0,1
-0.294944520,0,0
-0.292945560,0,1
-0.290944080,0,0
-0.288948520,0,1
-0.286950440,0,0
-0.284951480,0,1
-0.282953400,0,0
-0.280954440,0,1
-0.278956280,0,0
-0.276957360,0,1
-0.274959240,0,0
-0.272960320,0,1
-0.270962200,0,0
-0.268963280,0,1
-0.266965160,0,0
-0.264966240,0,1
-0.262968200,0,0
-0.260969240,0,1
-0.258971160,0,0
-0.256972200,0,1
-0.254974120,0,0
-0.252975160,0,1
-0.250977000,0,0
-0.248978080,0,1
-0.246979960,0,0
-0.244981040,0,1
-0.242982920,0,0
-0.240984000,0,1
-0.238985880,0,0
-0.236986960,0,1
-0.234988840,0,0
-0.232989920,0,1
-0.230991880,0,0
-0.228992920,0,1
-0.226994840,0,0
-0.224995880,0,1
