Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.089533680,0,0,1,0
0.089541300,0,0,0,0
0.089582380,0,0,1,0
0.089589980,0,0,0,0
0.089631140,0,0,1,0
0.089638860,0,0,0,0
0.091049080,1,0,0,0
0.091058220,1,1,0,0
0.091094760,1,1,0,1
0.091110740,1,1,0,0
0.091517680,1,1,1,0
0.091525300,1,1,0,0
0.091566440,1,1,1,0
0.091574040,1,1,0,0
0.091615260,1,1,1,0
0.091623000,1,1,0,0
0.093059080,0,1,0,0
0.093068100,0,0,0,0
0.093105440,0,0,0,1
0.093121440,0,0,0,0
0.093528180,0,0,1,0
0.093535800,0,0,0,0
0.093577020,0,0,1,0
0.093584620,0,0,0,0
0.093625760,0,0,1,0
0.093633500,0,0,0,0
0.095049280,1,0,0,0
0.095058400,1,1,0,0
0.095095260,1,1,0,1
0.095111260,1,1,0,0
0.095518200,1,1,1,0
0.095525800,1,1,0,0
0.095567020,1,1,1,0
0.095574620,1,1,0,0
0.095615700,1,1,1,0
0.095623440,1,1,0,0
0.097048700,0,1,0,0
0.097057740,0,0,0,0
0.097095020,0,0,0,1
0.097111020,0,0,0,0
0.097518000,0,0,1,0
0.097525620,0,0,0,0
0.097566840,0,0,1,0
0.097574440,0,0,0,0
0.097615520,0,0,1,0
0.097623240,0,0,0,0
0.099049180,1,0,0,0
0.099058220,1,1,0,0
0.099095020,1,1,0,1
0.099111000,1,1,0,0
0.099517820,1,1,1,0
0.099525440,1,1,0,0
0.099566520,1,1,1,0
0.099574120,1,1,0,0
0.099615340,1,1,1,0
0.099623080,1,1,0,0
0.101048780,0,1,0,0
0.101057740,0,0,0,0
0.101095140,0,0,0,1
0.101111140,0,0,0,0
0.101509640,0,0,1,0
0.101517260,0,0,0,0
0.101558380,0,0,1,0
0.101566000,0,0,0,0
0.101607220,0,0,1,0
0.101614960,0,0,0,0
0.103062220,1,0,0,0
0.103071360,1,1,0,0
0.103108160,1,1,0,1
0.103124140,1,1,0,0
0.103522880,1,1,1,0
0.103530520,1,1,0,0
0.103571580,1,1,1,0
0.103579200,1,1,0,0
0.103620400,1,1,1,0
0.103628160,1,1,0,0
0.105048680,0,1,0,0
0.105057740,0,0,0,0
0.105094960,0,0,0,1
0.105110960,0,0,0,0
0.105509580,0,0,1,0
0.105517200,0,0,0,0
0.105558280,0,0,1,0
0.105565880,0,0,0,0
0.105607040,0,0,1,0
0.105614780,0,0,0,0
0.107059320,1,0,0,0
0.107068420,1,1,0,0
0.107105280,1,1,0,1
0.107121280,1,1,0,0
0.107519820,1,1,1,0
0.107527460,1,1,0,0
0.107568520,1,1,1,0
0.107576140,1,1,0,0
0.107617360,1,1,1,0
0.107625100,1,1,0,0
0.109048700,0,1,0,0
0.109057760,0,0,0,0
0.109095240,0,0,0,1
0.109111220,0,0,0,0
0.109509900,0,0,1,0
0.109517540,0,0,0,0
0.109558720,0,0,1,0
0.109566340,0,0,0,0
0.109607420,0,0,1,0
0.109615180,0,0,0,0
0.111060900,1,0,0,0
0.111069940,1,1,0,0
0.111106740,1,1,0,1
0.111122740,1,1,0,0
0.111521300,1,1,1,0
0.111528920,1,1,0,0
0.111570120,1,1,1,0
0.111577720,1,1,0,0
0.111618800,1,1,1,0
0.111626560,1,1,0,0
0.113065540,0,1,0,0
0.113074600,0,0,0,0
0.113111820,0,0,0,1
0.113127820,0,0,0,0
0.113526620,0,0,1,0
0.113534240,0,0,0,0
0.113575320,0,0,1,0
0.113582920,0,0,0,0
0.113624200,0,0,1,0
0.113631940,0,0,0,0
0.115048660,1,0,0,0
0.115057780,1,1,0,0
0.115094460,1,1,0,1
0.115110440,1,1,0,0
0.115509060,1,1,1,0
0.115516700,1,1,0,0
0.115557820,1,1,1,0
0.115565420,1,1,0,0
0.115606640,1,1,1,0
0.115614380,1,1,0,0
0.117063400,0,1,0,0
0.117072480,0,0,0,0
0.117109960,0,0,0,1
0.117125960,0,0,0,0
0.117524640,0,0,1,0
0.117532260,0,0,0,0
0.117573460,0,0,1,0
0.117581060,0,0,0,0
0.117622140,0,0,1,0
0.117629900,0,0,0,0
0.119046740,1,0,0,0
0.119055860,1,1,0,0
0.119092600,1,1,0,1
0.119108580,1,1,0,0
0.119507380,1,1,1,0
0.119515020,1,1,0,0
0.119556080,1,1,1,0
0.119563700,1,1,0,0
0.119604900,1,1,1,0
0.119612660,1,1,0,0
0.121059740,0,1,0,0
0.121068700,0,0,0,0
0.121106040,0,0,0,1
0.121122020,0,0,0,0
0.121520780,0,0,1,0
0.121528400,0,0,0,0
0.121569600,0,0,1,0
0.121577200,0,0,0,0
0.121618300,0,0,1,0
0.121626040,0,0,0,0
0.123048640,1,0,0,0
0.123057680,1,1,0,0
0.123094540,1,1,0,1
0.123110540,1,1,0,0
0.123509080,1,1,1,0
0.123516720,1,1,0,0
0.123557780,1,1,1,0
0.123565400,1,1,0,0
0.123606540,1,1,1,0
0.123614300,1,1,0,0
0.125048260,0,1,0,0
0.125057280,0,0,0,0
0.125094740,0,0,0,1
0.125110740,0,0,0,0
0.125509160,0,0,1,0
