Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.057745100,1,0,0,0,1,0
0.057760825,0,0,0,0,1,0
0.057941525,0,0,0,0,0,0
0.059459200,0,0,0,0,1,0
0.059468450,0,0,0,1,1,0
0.059511900,0,0,0,1,1,1
0.059533625,0,0,0,1,1,0
0.059688700,0,1,0,1,1,0
0.059703025,0,0,0,1,1,0
0.059709700,0,0,1,1,1,0
0.059738650,0,0,0,1,1,0
0.059771625,1,0,0,1,1,0
0.059787350,0,0,0,1,1,0
0.059968250,0,0,0,1,0,0
0.061483075,0,0,0,1,1,0
0.061492050,0,0,0,0,1,0
0.061535900,0,0,0,0,1,1
0.061557625,0,0,0,0,1,0
0.061712775,0,1,0,0,1,0
0.061727100,0,0,0,0,1,0
0.061733350,0,0,1,0,1,0
0.061762300,0,0,0,0,1,0
0.061795650,1,0,0,0,1,0
0.061811375,0,0,0,0,1,0
0.061992250,0,0,0,0,0,0
0.063505950,0,0,0,0,1,0
0.063515200,0,0,0,1,1,0
0.063558650,0,0,0,1,1,1
0.063580375,0,0,0,1,1,0
0.063735425,0,1,0,1,1,0
0.063749750,0,0,0,1,1,0
0.063756425,0,0,1,1,1,0
0.063785375,0,0,0,1,1,0
0.063818600,1,0,0,1,1,0
0.063834350,0,0,0,1,1,0
0.064015125,0,0,0,1,0,0
0.065431375,0,0,0,1,1,0
0.065440350,0,0,0,0,1,0
0.065484200,0,0,0,0,1,1
0.065505925,0,0,0,0,1,0
0.065661000,0,1,0,0,1,0
0.065675325,0,0,0,0,1,0
0.065681950,0,0,1,0,1,0
0.065710900,0,0,0,0,1,0
0.065743675,1,0,0,0,1,0
0.065759425,0,0,0,0,1,0
0.065940200,0,0,0,0,0,0
0.067454900,0,0,0,0,1,0
0.067464150,0,0,0,1,1,0
0.067507625,0,0,0,1,1,1
0.067529325,0,0,0,1,1,0
0.067684400,0,1,0,1,1,0
0.067698725,0,0,0,1,1,0
0.067705350,0,0,1,1,1,0
0.067734300,0,0,0,1,1,0
0.067767400,1,0,0,1,1,0
